"","THETA_of_Seurat","THETA_of_cc_gene_test","THETA_of_GO0007049","THETA_of_cyclebase3.0"
"hela1_SC77",-0.020902845900436,0.0262095589159648,0.233118675475272,0.214793880062019
"hela1_SC78",-0.272298332103801,-0.174210825190395,-3.11160469580853,-0.618825207925462
"hela1_SC79",1.00662848757632,1.00260712647365,-0.824021128828295,1.02206683919922
"hela1_SC80",-0.15854859330405,-0.109787843001332,-0.279417861506924,-0.272756340678643
"hela1_SC81",0.816546992963031,1.03031255376347,-0.131513351872744,1.70524825556096
"hela1_SC82",0.112923220258351,0.240587134166734,-1.51614671494322,-0.146694596625308
"hela1_SC84",0.353207362678896,0.391281754602184,-0.224862766691357,0.463136983519666
"hela1_SC86",1.41338783130993,1.49698658683781,0.143387930490547,1.83370310314455
"hela1_SC87",3.07247952589085,3.06308373159602,-2.79348217173106,-2.80481417377302
"hela1_SC88",-3.08127851292024,-3.02843557114761,-3.1282418718046,-2.9827588483614
"hela1_SC89",-0.327663290989252,-0.422816604450556,2.06637754788509,-0.479773009430076
"hela1_SC90",-1.05229423069956,-0.810940954547637,2.10860423866569,-1.09025768824035
"hela1_SC91",0.246294973434776,0.257597296941058,-0.952502254270695,0.384603657938815
"hela1_SC92",-1.17785812744224,-0.94401827696131,-1.57172508117833,0.551946059615749
"hela1_SC93",-3.03376305473449,3.1171710730883,3.03184751787374,2.9856885940343
"hela1_SC94",3.09667369717769,3.07433999443533,2.48883991363128,2.9764775042666
"hela1_SC95",-0.174907132623815,-0.135911479161359,2.86154604911492,-0.17831743907335
"hela1_SC96",2.41718150305265,2.45528770302714,1.85726260833332,2.40645337205425
"hela1_SC97",-0.255117559763911,-0.374505231122265,-0.327845917815263,0.0221868246087247
"hela1_SC99",0.102493232901971,0.0696941138033165,0.23552463753151,0.283538940256874
"hela1_SC101",-2.92363214865628,-2.91783357608451,1.6599141653791,-3.03963854475373
"hela1_SC103",-0.204300926933954,-0.261946781863503,0.0904873556254829,-0.0242974153817226
"hela1_SC105",0.266329146763822,0.33657783241064,1.65996292642019,0.552594523172952
"hela1_SC107",-3.05705504609971,-3.11929037787107,-2.99949196024343,2.91012891736545
"hela1_SC108",-0.16995638505802,-0.182501888658594,-1.30756623780335,-0.011761010271414
"hela1_SC109",-0.459833691431078,-0.475242152495222,-1.20753638911834,-0.0869187886997236
"hela1_SC110",2.4126033373052,2.68158824516365,-1.52998912943086,2.22023957276624
"hela1_SC111",-2.98891157588591,-2.30050451813151,-0.870863661937551,-0.964337092950482
"hela1_SC113",2.32515963333131,2.39938644002408,-0.192903723132685,1.96126016801875
"hela1_SC114",-2.84870903439349,-2.89246410899098,2.99808804672729,-2.73103454202302
"hela1_SC115",-2.93608488332455,-2.73684161768638,0.863274950061523,-1.88603117446372
"hela1_SC116",1.7252661233292,1.85312537602298,-3.10229947726246,1.4875236233245
"hela1_SC117",-0.632027765314113,-0.637552308282952,0.703508257954095,-1.73734786709878
"hela1_SC118",-0.54629557204301,-0.536886224209223,-2.12487725051866,-1.18717315346935
"hela1_SC119",0.45114667139573,0.47734569516725,0.858500362196642,0.411026053821132
"hela1_SC120",-1.80984508376095,-1.97424724686977,-2.74129668785439,-1.72263179694077
"hela1_SC121",-0.477995510237035,-0.4142147205455,1.45848852981295,-0.491169453290966
"hela1_SC122",2.22614786038336,2.53071072253068,-1.81097072747456,2.97619950132305
"hela1_SC123",-2.98113594443288,-2.72003267640144,0.656502140566385,1.44215000160999
"hela1_SC125",-0.426877132858393,-0.449544632406905,1.03533223220177,-0.973610968278856
"hela1_SC127",-0.0457392768611988,-0.0734870291172208,0.413504716510918,0.218764125206805
"hela1_SC129",-0.115873259672665,-0.235800051849237,-0.51036412978111,-0.44618409854894
"hela1_SC130",-0.986616866761608,-1.50377433984967,-2.2067516688675,-1.86004386409828
"hela1_SC131",-1.17876423133506,-1.18770564624892,-0.214736239786543,-0.498163281466044
"hela1_SC132",0.586721258802156,0.875862809829835,1.8344862522476,-0.294428877800509
"hela1_SC133",0.54654812776633,0.685098188977048,0.42213264164637,0.887180447208144
"hela1_SC134",2.23820759940461,2.16614090297487,-3.07814070265596,2.31505228510752
"hela1_SC135",-2.94590331827175,-2.8921377868778,1.29928574514679,-2.47024625903968
"hela1_SC137",-0.23873571027886,-0.284611430578256,0.250417404266007,-0.40539540267365
"hela1_SC139",0.591750833494992,0.610869869439149,0.14642070520405,0.878787948201872
"hela1_SC140",0.409253609845267,0.239242248637625,-1.04288007864889,0.330905010070207
"hela1_SC143",-0.114869606305873,-0.0936777350640789,-0.512200454145708,0.107702469050395
"hela1_SC144",-0.460028555369464,-0.372875997398366,-1.23928685681208,-0.701602524383773
"hela1_SC145",3.03381203578758,3.07854187438491,0.706091655859176,2.6952650084016
"hela1_SC146",1.6835620019459,1.80961737078022,-1.37209256114759,2.17279657068649
"hela1_SC147",-2.94034627661955,-2.58363477002131,0.480677310533465,3.05877534448098
"hela1_SC148",-0.205070090546174,-0.219564349746059,-0.687693603119504,-0.230151659209512
"hela1_SC149",1.67001755843004,1.47547973416773,0.0637066200416936,1.55719438588089
"hela1_SC150",-0.0962341924774154,-0.101707903851779,-1.96953635273628,-0.126116412952055
"hela1_SC151",-0.122611543803867,-0.268473946718996,0.134788791952233,0.0541848332704103
"hela1_SC152",-3.07249738497952,-3.07390121450397,-2.99123409366375,-3.13236440029864
"hela1_SC153",-3.03686286872288,-3.00557374782011,1.24436576241852,2.83102693101982
"hela1_SC154",-2.27616980325179,-2.32755853014921,2.36424448865274,-1.66872734105096
"hela1_SC156",1.63058166371896,1.77381727792787,-1.8303785163045,1.50468878802086
"hela1_SC158",2.74621863442312,2.77148420402634,2.75351183339716,2.70943012744279
"hela1_SC159",-0.405447920318262,-0.539115431461527,0.582754924599899,-0.705125419570899
"hela1_SC160",2.25903295505431,2.24075082124499,3.11634768065568,2.59144327917729
"hela1_SC161",-2.97923757158933,-2.7404031873016,0.392287446498936,-2.86284129592526
"hela1_SC162",-2.80815815547503,-2.87628951146859,2.95443882498143,-2.7111431856618
"hela1_SC165",-2.77098324207198,-2.5376641024749,0.932523087160219,-2.06012788745157
"hela1_SC166",-2.45685122200477,-2.5444207888919,-2.73940144950457,-2.31497781009943
"hela1_SC167",-0.941443988505405,-0.906841959294856,0.828183325322758,-0.489072197284659
"hela1_SC168",-2.40667647664164,-2.38937132156007,-2.92031670395217,-2.07757370895005
"hela1_SC169",0.274698217263759,0.393286168992473,0.185672251838954,0.412858741562578
"hela1_SC170",2.89298634700506,2.67160267698256,-1.42899500144029,2.38687771713789
"hela1_SC171",0.402947794002945,0.494096407783721,0.155786303242652,0.784640273551854
"hela1_SC172",2.54973833162763,2.52543972894479,-1.66155523224584,-2.6922328108703
"hela1_SC173",-0.186064761563514,-0.227772620847998,-0.0731536901561811,-0.150971359345652
"hela1_SC174",-0.303529263792161,-0.208738621325264,-1.55775189347798,-0.416460681150783
"hela1_SC175",-3.10739652115523,-3.10366672340521,0.955728660074387,2.74095327311184
"hela1_SC176",-0.165501108997242,-0.224605603459837,-2.30940801349582,-0.199665796011449
"hela1_SC177",-2.77923821193909,-2.76173955412116,1.74586482756354,-2.60452956101457
"hela1_SC178",-0.352865160197148,-0.340812080905885,-2.36513810931171,-0.876029006963375
